,uri,name,labels
0,Decade-1990,Movies of the 1990s,Decade
1,Decade-1970,Movies of the 1970s,Decade
2,Decade-1960,Movies of the 1960s,Decade
3,Decade-1980,Movies of the 1980s,Decade
4,Decade-1930,Movies of the 1930s,Decade
5,Decade-1940,Movies of the 1940s,Decade
6,Decade-1950,Movies of the 1950s,Decade
7,Decade-1920,Movies of the 1920s,Decade
8,Decade-2000,Movies of the 2000s,Decade
9,Decade-2010,Movies of the 2010s,Decade
10,http://www.wikidata.org/entity/Q1163034,Cinergi Pictures,Company
11,http://www.wikidata.org/entity/Q1348264,Hollywood Pictures,Company
12,http://www.wikidata.org/entity/Q219135,Eon Productions,Company
13,http://www.wikidata.org/entity/Q457893,Amblin Entertainment,Company
14,http://www.wikidata.org/entity/Q497155,Touchstone Pictures,Company
15,http://www.wikidata.org/entity/Q168383,Universal Studios,Company
16,http://www.wikidata.org/entity/Q159846,Paramount Pictures,Company
17,http://www.wikidata.org/entity/Q127552,Pixar,Company
18,http://www.wikidata.org/entity/Q191224,Walt Disney Pictures,Company
19,http://www.wikidata.org/entity/Q17386257,Laurence Mark Productions,Company
20,http://www.wikidata.org/entity/Q1032540,Canal+,Company
21,http://www.wikidata.org/entity/Q1044291,Carolco Pictures,Company
22,http://www.wikidata.org/entity/Q434841,20th Century Fox,Company
23,http://www.wikidata.org/entity/Q466459,Regency Enterprises,Company
24,http://www.wikidata.org/entity/Q622848,Castle Rock Entertainment,Company
25,http://www.wikidata.org/entity/Q2756503,Gaumont-British Picture Corporation,Company
26,http://www.wikidata.org/entity/Q2926174,Brooksfilms,Company
27,http://www.wikidata.org/entity/Q6056696,Interscope Communications,Company
28,http://www.wikidata.org/entity/Q186941,Columbia Pictures,Company
29,http://www.wikidata.org/entity/Q126399,Warner Bros.,Company
30,http://www.wikidata.org/entity/Q1188938,Silver Pictures,Company
31,http://www.wikidata.org/entity/Q300323,A Band Apart,Company
32,http://www.wikidata.org/entity/Q971446,Bbc Films,Company
33,http://www.wikidata.org/entity/Q6389652,Kennedy Miller Mitchell,Company
34,http://www.wikidata.org/entity/Q1983457,Polygram Filmed Entertainment,Company
35,http://www.wikidata.org/entity/Q2060840,Working Title Films,Company
36,http://www.wikidata.org/entity/Q2450848,Studiocanal,Company
37,http://www.wikidata.org/entity/Q1535788,Rank Organisation,Company
38,http://www.wikidata.org/entity/Q79202,New Line Cinema,Company
39,http://www.wikidata.org/entity/Q465449,Miramax,Company
40,http://www.wikidata.org/entity/Q2714773,Caravan Pictures,Company
41,http://www.wikidata.org/entity/Q25659094,Roger Birnbaum Productions,Company
42,http://www.wikidata.org/entity/Q3521465,The Kennedy/Marshall Company,Company
43,http://www.wikidata.org/entity/Q3304113,Medusa Film,Company
44,http://www.wikidata.org/entity/Q3664077,Cecchi Gori Group,Company
45,http://www.wikidata.org/entity/Q190585,Island Records,Company
46,http://www.wikidata.org/entity/Q3323969,Morgan Creek Productions,Company
47,http://www.wikidata.org/entity/Q3999144,Triumph Films,Company
48,http://www.wikidata.org/entity/Q651454,Tristar Pictures,Company
49,http://www.wikidata.org/entity/Q17343522,Robert Simonds Productions,Company
50,http://www.wikidata.org/entity/Q1506909,Gracie Films,Company
51,http://www.wikidata.org/entity/Q2703264,Malpaso Productions,Company
52,http://www.wikidata.org/entity/Q2914692,The Jim Henson Company,Company
53,http://www.wikidata.org/entity/Q951774,The Ladd Company,Company
54,http://www.wikidata.org/entity/Q2669403,Icon Productions,Company
55,http://www.wikidata.org/entity/Q541569,Orange Sky Golden Harvest,Company
56,http://www.wikidata.org/entity/Q179200,Metro-Goldwyn-Mayer,Company
57,http://www.wikidata.org/entity/Q511731,Imagine Entertainment,Company
58,http://www.wikidata.org/entity/Q17305144,Jerry Bruckheimer Films,Company
59,http://www.wikidata.org/entity/Q17335713,Tim Burton Productions,Company
60,http://www.wikidata.org/entity/Q21043034,Universal Pictures,Company
61,http://www.wikidata.org/entity/Q5677175,Harvey Films,Company
62,http://www.wikidata.org/entity/Q1416899,Fine Line Features,Company
63,http://www.wikidata.org/entity/Q219400,United Artists Corporation,Company
64,http://www.wikidata.org/entity/Q1643241,Ugc,Company
65,http://www.wikidata.org/entity/Q1607312,Alliance Films,Company
66,http://www.wikidata.org/entity/Q1138658,40 Acres & A Mule Filmworks,Company
67,http://www.wikidata.org/entity/Q17371499,Edward R. Pressman Film,Company
68,http://www.wikidata.org/entity/Q2700070,View Askew Productions,Company
